Fecha,Ejercicio, Precio 
29/07/21,2021, 39.905660 
30/07/21,2021, 40.572463 
31/07/21,2021, 41.240000 
02/08/21,2021, 41.487804 
03/08/21,2021, 40.867924 
04/08/21,2021, 42.491228 
05/08/21,2021, 43.750000 
06/08/21,2021, 44.797101 
07/08/21,2021, 46.073170 
09/08/21,2021, 48.687500 
10/08/21,2021, 49.968992 
11/08/21,2021, 51.424242 
12/08/21,2021, 52.624203 
13/08/21,2021, 53.531250 
14/08/21,2021, 52.000000 
16/08/21,2021, 57.170212 
17/08/21,2021, 57.570175 
18/08/21,2021, 60.013422 
19/08/21,2021, 60.896825 
20/08/21,2021, 59.924731 
21/08/21,2021, 60.862745 
23/08/21,2021, 62.918367 
24/08/21,2021, 61.871559 
25/08/21,2021, 62.382716 
26/08/21,2021, 62.635294 
27/08/21,2021, 61.693877 
28/08/21,2021, 59.920000 
30/08/21,2021, 58.354838 
31/08/21,2021, 57.692307 
01/09/21,2021, 56.492957 
02/09/21,2021, 56.645161 
03/09/21,2021, 56.187500 
04/09/21,2021, 56.131578 
06/09/21,2021, 56.040000 
07/09/21,2021, 55.784313 
08/09/21,2021, 56.638297 
09/09/21,2021, 56.607843 
10/09/21,2021, 55.939393 
11/09/21,2021, 55.928571 
13/09/21,2021, 57.353982 
14/09/21,2021, 57.880281 
15/09/21,2021, 56.747826 
17/09/21,2021, 56.795698 
18/09/21,2021, 54.825242 
20/09/21,2021, 53.010101 
21/09/21,2021, 51.323741 
22/09/21,2021, 47.932584 
23/09/21,2021, 44.189189 
24/09/21,2021, 41.666666 
25/09/21,2021, 37.962962 
27/09/21,2021, 36.522727 
28/09/21,2021, 37.666666 
29/09/21,2021, 33.181818 
30/09/21,2021, 30.560000 
01/10/21,2021, 33.125000 
02/10/21,2021, 30.166666 
04/10/21,2021, 28.600000 
05/10/21,2021, 27.533333 
06/10/21,2021, 27.914285 
07/10/21,2021, 29.102272 
08/10/21,2021, 29.547945 
09/10/21,2021, 30.477272 
11/10/21,2021, 33.236111 
12/10/21,2021, 35.132352 
13/10/21,2021, 37.005952 
14/10/21,2021, 38.978723 
15/10/21,2021, 39.391304 
16/10/21,2021, 39.541666 
18/10/21,2021, 43.253086 
19/10/21,2021, 43.015432 
20/10/21,2021, 41.157894 
21/10/21,2021, 39.436619 
22/10/21,2021, 37.350000 
23/10/21,2021, 37.370370 
25/10/21,2021, 36.649350 
26/10/21,2021, 36.615384 
27/10/21,2021, 37.066265 
28/10/21,2021, 38.422619 
29/10/21,2021, 38.958823 
30/10/21,2021, 38.717741 
01/11/21,2021, 41.533898 
02/11/21,2021, 41.500000 
03/11/21,2021, 42.304347 
04/11/21,2021, 42.344827 
05/11/21,2021, 41.796460 
06/11/21,2021, 42.052287 
08/11/21,2021, 40.011904 
09/11/21,2021, 39.821782 
10/11/21,2021, 40.083333 
11/11/21,2021, 40.888888 
12/11/21,2021, 41.858585 
